,precision,recall,f1-score,support
NEGATIVE,0.4380165289256198,0.6794871794871795,0.5326633165829145,78.0
NEUTRAL,0.2222222222222222,0.05128205128205128,0.08333333333333333,39.0
POSITIVE,0.4714285714285714,0.39759036144578314,0.43137254901960786,83.0
accuracy,0.44,0.44,0.44,0.44
macro avg,0.37722244085880446,0.37611986407167136,0.34912306631195195,200.0
weighted avg,0.4098026367571822,0.44,0.40300830131047394,200.0
